Violation_Code,Health_Code,Violation_Summary,Category_Description,Violation_Template,Condition I,Condition II,Condition III,Condition IV,Condition V
02A,NYCHC 81.09(c),Other PHFs: 140°F for 15 sec.,COOKING,"Potentially hazardous food requiring cooking (other than poultry, pork, beef, and food containing such meats) not heated so that all parts reached 140°F (60°C) or above for at least 15 seconds in that <QUANTITY> <UNIT> <of/BYPASS> <ADJECTIVE> <FOOD> heated to <#>°F <OPTIONAL-INPUT>. Food observed <IN/AT/ON> <EQUIPMENT> <LOCATION>. Corrective action: <CORRECTIVE ACTION 12>. NYCHC 81.09(c) ",,,,"Failure to properly cook meats, comminuted meats, and other potentially hazardous foods (PHFs), unless a consumer specifically asks for a serving of item ordered to be cooked below the minimum temperature. Score: 10",Failure to correct any condition of a PHH at the time of inspection.  Inspector must call office to discuss closing or other enforcement measures. Score: 28
02A,NYCHC 81.09(c)(1),"Whole or ground poultry, poultry parts, all foods containing poultry, poultry stuffing and poultry stuffing containing meat: 165°F for 15 sec.",COOKING,"Whole or ground poultry, poultry parts, all foods containing poultry, poultry stuffing and poultry stuffing containing meat not heated so that all parts reached 165°F (73.9°C) or above for at least 15 seconds with no interruption of the cooking process in that <QUANTITY> <UNIT> <of/BYPASS> <ADJECTIVE> <FOOD> <BODY PARTS> <WAS/WAS NOT> heated to <#>°F <OPTIONAL INPUT 7>. Food observed <IN/AT/ON> <EQUIPMENT> <LOCATION>. Corrective action: <CORRECTIVE ACTION 7>. NYCHC 81.09(c)(1)",,,,"Failure to properly cook meats, comminuted meats, and other potentially hazardous foods (PHFs), unless a consumer specifically asks for a serving of item ordered to be cooked below the minimum temperature. Score: 10",Failure to correct any condition of a PHH at the time of inspection.  Inspector must call office to discuss closing or other enforcement measures. Score: 28
02A,NYCHC 81.09(c)(2),Pork/food containing pork: 150°F for 15 sec.,COOKING,Pork and food containing pork not heated so that all parts reached 150°F (65.6°C) or above for at least 15 seconds in that <QUANTITY> <UNIT> <of/BYPASS> <ADJECTIVE> <FOOD> <BODY PARTS> heated to <#>°F <OPTIONAL-INPUT>. Food observed <IN/AT/ON> <EQUIPMENT> <LOCATION>. Corrective action: <CORRECTIVE ACTION 8>. NYCHC 81.09(c)(2) ,,,,"Failure to properly cook meats, comminuted meats, and other potentially hazardous foods (PHFs), unless a consumer specifically asks for a serving of item ordered to be cooked below the minimum temperature. Score: 10",Failure to correct any condition of a PHH at the time of inspection.  Inspector must call office to discuss closing or other enforcement measures. Score: 28
02A,NYCHC 81.09(c)(3),Whole meat roasts and/or rare beef steaks: Minimum time/temperature,COOKING,"Whole meat roast  and/or rare beef steaks are not heated to the minimum temperature and time required, unless otherwise ordered by the individual customer, in that <QUANTITY> <UNIT> <of/BYPASS> <ADJECTIVE> <FOOD> heated to <#>°F <MINUTES> <OPTIONAL-INPUT>. Food observed <IN/AT/ON> <EQUIPMENT> <LOCATION>. Corrective action: <CORRECTIVE ACTION 9>. NYCHC 81.09(c)(3) ",,,,"Failure to properly cook meats, comminuted meats, and other potentially hazardous foods (PHFs), unless a consumer specifically asks for a serving of item ordered to be cooked below the minimum temperature. Score: 10",Failure to correct any condition of a PHH at the time of inspection.  Inspector must call office to discuss closing or other enforcement measures. Score: 28
02A,NYCHC 81.09(c)(4),Ground or comminuted meat: 158°F,COOKING,"Ground or comminuted meat are not heated so that all parts reached 158°F (69.4°C) or above with no interruption of the cooking process unless otherwise ordered by the customer, in that <QUANTITY> <UNIT> <of/BYPASS> <ADJECTIVE> <FOOD> <WAS/WAS NOT> heated to <#>°F <OPTIONAL INPUT 208>. Product observed <IN/AT/ON> <EQUIPMENT> <LOCATION>. Corrective action: <CORRECTIVE ACTION 208>. NYCHC 81.09(c)(4)",,,,"Failure to properly cook meats, comminuted meats, and other potentially hazardous foods (PHFs), unless a consumer specifically asks for a serving of item ordered to be cooked below the minimum temperature. Score: 10",Failure to correct any condition of a PHH at the time of inspection.  Inspector must call office to discuss closing or other enforcement measures. Score: 28
02A,NYCHC 81.09(c)(5),Stuffings: 165°F,COOKING,"Stuffed meats, stuffed fish, stuffed ratities or stuffing containing ratites and fish not heated so that all parts reached 165°F (69.4°C) or above with no interruption of the cooking process unless otherwise ordered by the individual customer, in that <QUANTITY> <UNIT> <of/BYPASS> <ADJECTIVE> <FOOD> <WAS/WAS NOT> heated to <#>°F <OPTIONAL INPUT 10>. Product observed <IN/AT/ON> <EQUIPMENT> <LOCATION>. Corrective action: <CORRECTIVE ACTION 10>. NYCHC 81.09(c)(5)",,,,"Failure to properly cook meats, comminuted meats, and other potentially hazardous foods (PHFs), unless a consumer specifically asks for a serving of item ordered to be cooked below the minimum temperature. Score: 10",Failure to correct any condition of a PHH at the time of inspection.  Inspector must call office to discuss closing or other enforcement measures. Score: 28
02A,NYCHC 81.09(c)(6),Shell eggs/food prepared with raw shell eggs: 145°F for 15 sec.,COOKING,"Shell eggs or food prepared with raw shell eggs not heated to 145°F (62.8°C) or above for at least 15 seconds, unless otherwise ordered by the individual customer, in that <QUANTITY> <UNIT> <of/BYPASS> <ADJECTIVE> <FOOD> not heated to <#>°F <OPTIONAL-INPUT>. Food observed <IN/AT/ON> <EQUIPMENT> <LOCATION>. Corrective action: <CORRECTIVE ACTION 11>. NYCHC 81.09 (c)(6) ",,,,"Failure to properly cook meats, comminuted meats, and other potentially hazardous foods (PHFs), unless a consumer specifically asks for a serving of item ordered to be cooked below the minimum temperature. Score: 10",Failure to correct any condition of a PHH at the time of inspection.  Inspector must call office to discuss closing or other enforcement measures. Score: 28
02B,NYCHC 81.09(a),PHF held below 140°F,HOT HOLDING,"Potentially hazardous hot food not held at or above 140°F (60°C), except during necessary preparation, in that <QUANTITY> <UNIT> <of/BYPASS> <ADJECTIVE> <FOOD> <BODY PARTS> registered at <#>°F <IN/AT/ON> <EQUIPMENT> <LOCATION>. <CONDITION 14>. <OPTIONAL INPUT 14> Corrective action: <CORRECTIVE ACTION 14>. NYCHC 81.09(a)   Please Note: The Health Code describes the situations when food may be out of temperature. The OATH Appeals Unit has further clarified the rules. For example, food under “necessary preparation” may be out of temperature only when the preparation process requires food to be out of temperature. See, e.g., DOHMH v. Everyday Gourmet Deli, Inc., Dkt No. 0645112F1 (App. Unit Oct. 4, 2012) (rejecting necessary preparation defense when respondent failed to show preparation required food to be out of temperature). And, food being reheated, thawed, cooled or labeled for time and temperature and monitored under Time as a Public Health Control (TPHC) may be out of temperature only if the restaurant is following the required Health Code methods for these procedures. See, e.g., DOHMH v. Restaurants LLC Trump, Dkt No. 2335313F1 (App. Unit Feb. 12, 2014) (rejecting reheating defense when respondent used improper reheating method); DOHMH v. Gus & Steve Luncheonette, Inc., Dkt No. 2457312F1 (App. Unit Feb. 4, 2013) (same, thawing); DOHMH v. Palate Restaurant LLC, Dkt 09264-15F1 (App. Unit Oct. 19, 2015) (same, cooling); DOHMH v. LLC Koi NY, Dkt No. 2389413F1 (App. Unit April 10, 2014) (same, TPHC). These rulings are available at nyls.edu/cityadmin",One hot food item out of temperature in one area.  Example: One tray of chicken wings held at 115° F. Score: 7,Two hot food items out of temperature or the same type of food out of temperature in two different areas.  Example:  One tray of chicken wings and a pot of rice held at 115° F; or one tray of chicken wings on the steam table and one tray of chicken wings in the food preparation area held at 115° F. Score: 8,Three hot food items out of temperature or same type of food out of temperature three different areas Score: 9,"Four or more hot food items out of temperature or the same type of food out of temperature in four or more different areas.  Example:  One tray of chicken wings, a pot of rice, platter of roast beef and tureen of beef stew held at 115° F; or one tray of chicken wings on the steam table, one tray of chicken wings in the food preparation area, one basket of chicken near the deep fryer and a rotisserie machine filled with eleven chickens held at 115° F. Score: 10",Failure to correct any condition of a PHH at the time of inspection.  Inspector must call office to discuss closing or other enforcement measures. Score: 28
02C,NYCHC 81.09(d),PHF cooked/refrigerated/reheated: 165°F for 15 sec. within 2 hours,REHEATING & HOT HOLDING,"Potentially hazardous food that has been cooked and cooled, was not reheated so that all parts reached 165°F (73.9°F) or above for at least 15 seconds within two hours prior to hot holding in that <QUANTITY> <UNIT> <of/BYPASS> <ADJECTIVE> <FOOD> <BODY PARTS> registered at <#>°F <in/at/on> <EQUIPMENT> <LOCATION>. Food has been <IN/AT/ON> <EQUIPMENT> for <#> <TIME> <OPTIONAL-INPUT>. Corrective action: <CORRECTIVE ACTION 15>. NYCHC 81.09(d) ",One cooked and refrigerated hot food item not reheated to 165° F before service.  Example: chicken soup. Score: 5,Two cooked and refrigerated hot food items not reheated to165° F before service.  Example: chicken soup and baked ham. Score: 6,"Three cooked and refrigerated hot food items not reheated to 165° F before service. Example: chicken soup, baked ham and sliced turkey. Score: 7","Four or more cooked and refrigerated hot food items not reheated to 165° F before service.  Example: chicken soup, baked ham, sliced turkey, meatloaf and lobster bisque. Score: 8",
02D,NYCHC 81.09(d)(2),Commercially processed PHF: 140°F within 2 hours,REHEATING & HOT HOLDING,"Commercially processed potentially hazardous food from a non-retail food processing establishment not heated to 140°F (60°C) within two hours of removal from container or package and held at that temperature until served in that <QUANTITY> <UNIT> <of/BYPASS> <ADJECTIVE> <FOOD> registered at <#>°F <IN/AT/ON> <EQUIPMENT> <LOCATION>. Food was removed from original packaging <#> <TIME> earlier, as per food worker's statement. Corrective action: <CORRECTIVE ACTION 13>. NYCHC 81.09(d)(2) ","Precooked potentially hazardous food from commercial food processing establishment that is supposed to be heated, but is not heated to 140° F within 2 hours. Score: 5",One precooked commercially prepared food not heated to 140° F.  Example: beef patties. Score: 6,"Three pre-cooked commercially prepared foods not heated to 140° F.  Example: beef patties, clam chowder and smoked turkey. Score: 7","Four or more pre-cooked commercially prepared foods not heated to 140° F.  Example: beef patties, clam chowder, smoked turkey, corned beef and gyros. Score: 8",
